               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06589,            0.032562,            0.054374,              0.1446,             0.60322,             0.22701,             0.10435,            0.037685,            0.016554,            0.046794,            0.070179,           0.0033135,           0.0033135
                   1,             0.04607,            0.021897,            0.045837,             0.31522,             0.63215,             0.43037,              0.2069,            0.037369,            0.012763,            0.036702,            0.040172,           0.0066402,           0.0066402
                   2,            0.042756,            0.018261,            0.031387,             0.55655,             0.68698,             0.68939,             0.40442,             0.03132,             0.01188,            0.024342,            0.010159,           0.0099604,           0.0099604
                   3,            0.036134,            0.016342,            0.018782,             0.60705,               0.823,             0.72006,               0.464,            0.026822,            0.011636,            0.024258,           0.0099703,           0.0099703,           0.0099703
                   4,            0.030329,            0.015629,            0.014306,             0.76889,             0.79647,             0.88103,             0.65916,            0.019875,            0.010464,            0.011474,           0.0099703,           0.0099703,           0.0099703
                   5,            0.027261,            0.014908,            0.012861,             0.75532,             0.85902,             0.84057,             0.62478,            0.019119,            0.010442,            0.014476,           0.0099604,           0.0099604,           0.0099604
                   6,            0.025813,            0.014217,            0.011463,             0.77863,             0.80817,             0.86812,             0.62291,            0.020679,            0.010305,            0.011862,           0.0099505,           0.0099505,           0.0099505
                   7,            0.024979,            0.014057,            0.010395,             0.77463,             0.81791,             0.85053,             0.61027,            0.021371,            0.010501,            0.017239,           0.0099406,           0.0099406,           0.0099406
                   8,             0.02375,            0.013679,           0.0097072,             0.84662,             0.88044,             0.88875,             0.69263,            0.017291,            0.010203,            0.010896,           0.0099307,           0.0099307,           0.0099307
                   9,            0.022468,            0.013568,             0.00959,             0.78734,              0.7683,             0.80109,             0.64214,              0.0177,           0.0099475,            0.011663,           0.0099208,           0.0099208,           0.0099208
                  10,            0.021965,            0.013326,           0.0087437,             0.89376,             0.79011,             0.88334,             0.68545,            0.016668,            0.009462,           0.0090962,           0.0099109,           0.0099109,           0.0099109
                  11,            0.021024,            0.013166,           0.0084952,             0.81577,             0.85476,             0.88208,             0.71473,            0.015323,           0.0097361,            0.013461,            0.009901,            0.009901,            0.009901
                  12,            0.020405,            0.012916,           0.0082669,             0.79223,             0.80735,              0.8155,             0.68493,            0.014994,           0.0092778,            0.012105,           0.0098911,           0.0098911,           0.0098911
                  13,            0.019992,            0.012627,            0.008053,              0.8643,             0.92035,             0.90473,             0.71074,            0.015851,           0.0090754,           0.0093771,           0.0098812,           0.0098812,           0.0098812
                  14,            0.019214,            0.012653,            0.007314,             0.92601,             0.81362,             0.85349,             0.70387,            0.015185,           0.0092278,            0.010571,           0.0098713,           0.0098713,           0.0098713
                  15,            0.019146,            0.012325,           0.0075581,             0.80043,              0.8414,             0.86145,             0.72308,             0.01455,           0.0088172,            0.011997,           0.0098614,           0.0098614,           0.0098614
                  16,            0.018638,            0.012165,           0.0070824,             0.81228,             0.91246,             0.91319,              0.7493,            0.014329,           0.0092003,           0.0086095,           0.0098515,           0.0098515,           0.0098515
                  17,            0.018211,            0.012121,           0.0071708,             0.84987,             0.85938,             0.87224,             0.72439,            0.015081,           0.0086899,            0.011669,           0.0098416,           0.0098416,           0.0098416
                  18,            0.017809,            0.011924,           0.0066473,             0.84525,              0.8533,             0.90885,             0.77468,            0.013719,           0.0080085,             0.01049,           0.0098317,           0.0098317,           0.0098317
                  19,            0.017971,            0.012019,           0.0067488,             0.88668,             0.88778,             0.91328,             0.76776,            0.013592,           0.0088568,           0.0083517,           0.0098218,           0.0098218,           0.0098218
                  20,            0.017335,            0.011759,           0.0063095,             0.86572,             0.87705,             0.87872,             0.75257,             0.01359,           0.0085366,           0.0095038,           0.0098119,           0.0098119,           0.0098119
                  21,            0.016805,            0.011738,            0.006507,             0.88027,             0.91165,             0.91622,             0.75776,             0.01379,           0.0088605,           0.0095223,            0.009802,            0.009802,            0.009802
                  22,            0.016895,            0.011565,           0.0064939,              0.8286,             0.85119,             0.85642,             0.72504,            0.013981,           0.0089603,            0.013563,           0.0097921,           0.0097921,           0.0097921
                  23,            0.016253,            0.011231,           0.0061487,             0.81834,             0.85588,             0.88418,             0.72811,             0.01355,           0.0083342,             0.01374,           0.0097822,           0.0097822,           0.0097822
