               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065342,            0.035347,             0.04503,          0.00023121,            0.031579,          0.00016088,          3.0856e-05,            0.091812,              10.731,              0.1045,             0.07075,             0.00325,             0.00325
                   1,            0.050841,            0.029189,            0.040452,              0.1679,           0.0035088,          0.00014582,          4.8348e-05,             0.11224,            0.085632,             0.41221,            0.040724,           0.0065573,           0.0065573
                   2,            0.046418,            0.028201,             0.03612,          0.00012266,            0.050877,          8.0408e-05,          1.6368e-05,            0.085001,              2.9184,             0.12846,            0.010671,           0.0098381,           0.0098381
                   3,            0.045088,            0.026415,            0.034105,             0.16706,            0.078947,          0.00042671,          9.8666e-05,             0.10592,               1.409,             0.14279,           0.0098812,           0.0098812,           0.0098812
                   4,            0.041641,            0.025286,             0.03245,                   0,                   0,                   0,                   0,             0.13328,            0.065868,              0.3293,           0.0098812,           0.0098812,           0.0098812
                   5,            0.037417,            0.023833,             0.03071,             0.86511,            0.035088,            0.021114,            0.006614,            0.070353,             0.14011,              0.1082,           0.0098416,           0.0098416,           0.0098416
                   6,            0.036214,            0.023587,            0.028788,             0.16723,            0.017544,          0.00017933,          4.0638e-05,            0.098594,            0.041698,            0.062732,            0.009802,            0.009802,            0.009802
                   7,            0.033326,             0.02237,            0.027813,                   0,                   0,                   0,                   0,             0.13445,            0.033718,             0.53367,           0.0097624,           0.0097624,           0.0097624
                   8,            0.034248,            0.022304,            0.027023,             0.77517,             0.05291,            0.043886,            0.015729,            0.061369,            0.049161,            0.064029,           0.0097228,           0.0097228,           0.0097228
                   9,              0.0355,            0.022617,            0.026575,             0.54506,            0.058922,            0.032056,           0.0078479,            0.058388,            0.047236,            0.051515,           0.0096832,           0.0096832,           0.0096832
