               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.016964,            0.012133,           0.0065233,             0.84145,             0.70305,             0.75808,             0.62604,             0.01351,           0.0079063,            0.010468,            0.002872,            0.002872,            0.002872
                  38,            0.016128,            0.011657,           0.0057858,             0.83736,             0.70027,              0.7518,             0.61479,            0.013861,           0.0078975,            0.011396,            0.002674,            0.002674,            0.002674
                  39,            0.015722,             0.01199,           0.0062232,             0.80617,             0.74576,             0.76732,             0.63074,            0.014104,           0.0078319,            0.010811,            0.002476,            0.002476,            0.002476
                  40,             0.01559,            0.011893,           0.0060369,             0.82259,             0.72828,             0.76617,             0.64117,            0.013583,           0.0078166,            0.010377,            0.002278,            0.002278,            0.002278
                  41,            0.015227,            0.011569,           0.0060862,             0.82088,              0.7553,             0.76581,             0.64785,            0.012885,           0.0076858,           0.0098158,             0.00208,             0.00208,             0.00208
                  42,            0.015218,            0.011706,           0.0055582,             0.84126,             0.75942,             0.76469,             0.64894,            0.012879,           0.0077924,           0.0094169,            0.001882,            0.001882,            0.001882
                  43,            0.014904,            0.010978,           0.0052905,             0.85244,             0.75162,             0.76098,             0.64104,            0.013322,           0.0077806,           0.0098241,            0.001684,            0.001684,            0.001684
                  44,            0.014631,            0.011735,           0.0048921,             0.85057,             0.73531,             0.76338,             0.64332,            0.012648,           0.0076545,            0.010933,            0.001486,            0.001486,            0.001486
                  45,            0.013709,            0.010607,           0.0053929,             0.84458,              0.7467,              0.7624,             0.64917,            0.012427,           0.0075961,            0.010058,            0.001288,            0.001288,            0.001288
                  46,            0.013908,            0.011566,           0.0047612,             0.85399,              0.7521,             0.76798,             0.65588,            0.012209,           0.0075745,            0.010024,             0.00109,             0.00109,             0.00109
                  47,             0.01357,             0.01159,            0.005479,             0.86495,             0.75339,             0.76855,             0.65782,            0.012239,           0.0075387,            0.010106,            0.000892,            0.000892,            0.000892
                  48,            0.013321,            0.011317,           0.0048729,             0.87933,             0.73765,             0.76524,             0.65361,            0.012259,           0.0075076,            0.010908,            0.000694,            0.000694,            0.000694
                  49,            0.013197,            0.010862,           0.0044714,              0.8788,             0.74245,             0.76582,             0.65637,            0.012168,           0.0075324,            0.010519,            0.000496,            0.000496,            0.000496
