               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092152,            0.041591,            0.056698,             0.30376,             0.19682,            0.022377,           0.0051383,             0.06463,             0.02542,            0.048791,               0.073,               0.003,               0.003
                   1,            0.065808,            0.036254,            0.045348,             0.63297,             0.26757,            0.087669,            0.021441,            0.052778,            0.021871,            0.043061,            0.045094,            0.006094,            0.006094
                   2,            0.065438,            0.028984,            0.042029,             0.51937,             0.27378,             0.17014,            0.068012,            0.048574,            0.015931,            0.041568,            0.017182,           0.0091818,           0.0091818
                   3,            0.059879,            0.024724,            0.039296,             0.67424,             0.31421,             0.19712,            0.079773,            0.049915,             0.01538,            0.035306,           0.0099703,           0.0099703,           0.0099703
                   4,            0.051373,            0.021824,            0.033989,             0.65543,             0.34259,             0.17311,            0.076643,            0.054732,            0.021844,            0.032791,           0.0099703,           0.0099703,           0.0099703
                   5,            0.045271,             0.01994,            0.031531,               0.481,             0.48943,             0.25054,             0.12889,             0.03478,            0.012916,            0.030296,           0.0099604,           0.0099604,           0.0099604
                   6,            0.041115,            0.019744,            0.028606,             0.75716,             0.35392,                0.31,             0.16469,            0.034898,            0.011354,            0.027252,           0.0099505,           0.0099505,           0.0099505
                   7,            0.037367,            0.018378,            0.025863,             0.89452,              0.3306,             0.43846,             0.25916,             0.03161,              0.0112,            0.024422,           0.0099406,           0.0099406,           0.0099406
                   8,             0.03585,            0.017998,             0.02354,             0.95302,             0.36426,             0.51497,             0.33509,             0.02946,            0.010698,            0.023616,           0.0099307,           0.0099307,           0.0099307
                   9,            0.036193,            0.017113,            0.021858,             0.93396,             0.39238,             0.54318,             0.36457,            0.024696,            0.010257,            0.021809,           0.0099208,           0.0099208,           0.0099208
                  10,            0.033705,            0.017282,            0.020281,               0.849,             0.46688,             0.56357,             0.32146,            0.027003,            0.010997,            0.021219,           0.0099109,           0.0099109,           0.0099109
                  11,            0.031503,            0.016796,            0.019083,              0.8845,             0.50683,             0.54987,             0.36337,            0.025206,            0.010251,            0.019608,            0.009901,            0.009901,            0.009901
                  12,            0.031554,            0.017022,            0.017172,             0.90102,             0.49534,             0.57751,             0.37782,            0.023199,            0.010352,            0.016792,           0.0098911,           0.0098911,           0.0098911
                  13,            0.030256,             0.01606,            0.016428,             0.78519,             0.52435,             0.56792,             0.39981,            0.025626,           0.0098992,            0.015711,           0.0098812,           0.0098812,           0.0098812
                  14,            0.030432,            0.017013,            0.014506,             0.82419,             0.55347,              0.6019,             0.38986,            0.025437,            0.010313,            0.014579,           0.0098713,           0.0098713,           0.0098713
                  15,            0.029062,            0.016187,            0.012905,             0.79673,             0.54924,             0.60676,             0.44098,            0.022102,           0.0099685,            0.014287,           0.0098614,           0.0098614,           0.0098614
                  16,            0.028597,            0.016139,            0.013167,             0.88631,             0.55872,             0.62296,             0.39762,            0.024475,             0.01004,            0.013341,           0.0098515,           0.0098515,           0.0098515
                  17,            0.027449,            0.015072,            0.012489,             0.76111,             0.58758,             0.61174,             0.40469,            0.023088,           0.0098658,             0.01407,           0.0098416,           0.0098416,           0.0098416
                  18,            0.028635,            0.015953,            0.011792,             0.76187,             0.59947,             0.63937,             0.47276,            0.021272,           0.0098023,            0.015913,           0.0098317,           0.0098317,           0.0098317
                  19,            0.026932,            0.015153,            0.011628,             0.80872,             0.59221,             0.64686,             0.48912,              0.0202,            0.009579,            0.013806,           0.0098218,           0.0098218,           0.0098218
                  20,            0.026839,            0.016076,            0.011877,              0.8374,             0.60467,             0.67062,             0.49211,            0.021826,           0.0096335,            0.013395,           0.0098119,           0.0098119,           0.0098119
                  21,            0.027644,            0.015974,            0.011171,             0.87179,             0.62309,             0.66578,             0.49457,            0.021901,           0.0095288,            0.012243,            0.009802,            0.009802,            0.009802
                  22,            0.025911,            0.015742,            0.010226,             0.89364,             0.62391,             0.68778,             0.51776,            0.020173,           0.0094883,            0.012083,           0.0097921,           0.0097921,           0.0097921
                  23,            0.026905,            0.015092,            0.010004,             0.84082,             0.58005,             0.69583,             0.45365,            0.024167,            0.010252,            0.021052,           0.0097822,           0.0097822,           0.0097822
                  24,            0.025826,            0.015247,           0.0086717,             0.90909,             0.61718,             0.72595,             0.55717,            0.019605,           0.0092181,            0.012627,           0.0097723,           0.0097723,           0.0097723
                  25,            0.025621,            0.014963,           0.0091736,             0.85635,             0.64861,             0.72714,             0.53958,            0.020892,           0.0093144,            0.012277,           0.0097624,           0.0097624,           0.0097624
                  26,            0.025533,            0.015045,            0.010603,             0.83398,             0.63203,             0.71778,             0.54676,            0.019427,           0.0093297,            0.013576,           0.0097525,           0.0097525,           0.0097525
                  27,            0.025492,            0.014703,           0.0098007,             0.82386,             0.66242,             0.71266,             0.54361,            0.018861,           0.0097489,            0.011937,           0.0097426,           0.0097426,           0.0097426
                  28,            0.024626,            0.015076,            0.009156,             0.85358,             0.68008,             0.75316,             0.55411,            0.019539,           0.0094421,            0.011875,           0.0097327,           0.0097327,           0.0097327
                  29,            0.024681,            0.014501,           0.0091708,             0.84935,              0.6526,             0.75117,             0.56093,            0.020358,           0.0093053,            0.011492,           0.0097228,           0.0097228,           0.0097228
                  30,            0.024922,            0.014678,            0.008831,             0.92901,             0.62083,             0.76356,             0.58137,            0.019502,           0.0094716,            0.011112,           0.0097129,           0.0097129,           0.0097129
                  31,            0.024556,            0.014788,           0.0078303,             0.81408,             0.66158,             0.76157,             0.56051,            0.020641,           0.0095489,            0.011477,            0.009703,            0.009703,            0.009703
                  32,            0.024101,            0.014012,           0.0089736,             0.76442,               0.697,             0.75733,             0.55796,            0.019776,            0.010015,            0.012989,           0.0096931,           0.0096931,           0.0096931
                  33,             0.02441,            0.014247,            0.008562,             0.77233,              0.6774,             0.73933,             0.56352,            0.017952,           0.0093884,            0.015967,           0.0096832,           0.0096832,           0.0096832
