               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065342,            0.035347,             0.04503,          0.00023121,            0.031579,          0.00016088,          3.0856e-05,            0.091812,              10.731,              0.1045,             0.07075,             0.00325,             0.00325
                   1,            0.050784,            0.029228,            0.040418,          0.00016664,           0.0017544,          7.2238e-05,          2.1978e-05,             0.10616,            0.084558,             0.36085,            0.040737,           0.0065703,           0.0065703
                   2,            0.048426,            0.028948,            0.036268,             0.50294,             0.02807,           0.0011928,          0.00017368,            0.084858,               1.689,            0.091284,            0.010711,           0.0098774,           0.0098774
                   3,            0.046437,            0.026438,            0.033855,           0.0025484,             0.34425,           0.0021093,          0.00059545,            0.079018,             0.10905,            0.090819,           0.0099406,           0.0099406,           0.0099406
                   4,            0.042975,            0.025904,            0.033045,             0.53397,             0.10328,            0.030497,            0.010399,            0.057919,            0.045709,            0.053854,           0.0099406,           0.0099406,           0.0099406
                   5,            0.038778,             0.02394,            0.031647,             0.69612,            0.029825,            0.012703,           0.0020151,             0.13217,             0.07173,             0.23453,           0.0099208,           0.0099208,           0.0099208
                   6,            0.037306,            0.023737,            0.029245,             0.51884,            0.051904,            0.011262,           0.0027237,            0.060381,            0.052633,             0.10096,            0.009901,            0.009901,            0.009901
                   7,            0.035245,            0.022583,            0.027887,             0.40389,            0.070836,            0.053712,            0.018478,            0.091869,             0.03751,            0.069876,           0.0098812,           0.0098812,           0.0098812
                   8,            0.034899,            0.022344,            0.026963,             0.94632,            0.092982,            0.096292,            0.037471,            0.049122,            0.090065,             0.13013,           0.0098614,           0.0098614,           0.0098614
                   9,            0.035855,            0.023092,            0.027517,             0.38856,             0.16593,            0.060561,            0.021207,             0.05759,              0.0803,            0.072928,           0.0098416,           0.0098416,           0.0098416
                  10,            0.032876,            0.022229,            0.026001,             0.77508,            0.066667,             0.06929,            0.032555,            0.047583,             0.04625,             0.06326,           0.0098218,           0.0098218,           0.0098218
                  11,            0.032499,            0.021474,            0.024176,             0.86411,            0.024561,            0.011446,           0.0035027,            0.072788,            0.062153,            0.071021,            0.009802,            0.009802,            0.009802
                  12,             0.03199,            0.021717,             0.02278,             0.17212,           0.0087719,           0.0016115,          0.00068122,            0.060066,            0.069036,             0.11902,           0.0097822,           0.0097822,           0.0097822
                  13,            0.030623,            0.020736,            0.021419,             0.70575,           0.0058194,           0.0021702,          0.00051642,            0.072335,            0.046997,            0.091882,           0.0097624,           0.0097624,           0.0097624
                  14,            0.029903,             0.02024,            0.020874,             0.58725,             0.02959,            0.032941,            0.010212,            0.047569,            0.062516,            0.061606,           0.0097426,           0.0097426,           0.0097426
                  15,            0.029899,             0.02085,             0.02192,            0.022608,           0.0087719,           0.0031509,          0.00057835,            0.068495,            0.071976,            0.054068,           0.0097228,           0.0097228,           0.0097228
                  16,            0.029563,            0.020843,            0.020876,             0.20619,            0.038875,            0.022512,           0.0080485,            0.065698,            0.046019,            0.093698,            0.009703,            0.009703,            0.009703
                  17,            0.030292,            0.021129,            0.020105,             0.22721,            0.032413,            0.023173,             0.01038,            0.054441,            0.080914,             0.06058,           0.0096832,           0.0096832,           0.0096832
                  18,            0.029702,            0.020026,            0.019217,             0.14053,             0.15267,             0.10328,             0.04268,            0.045187,            0.043034,             0.07612,           0.0096634,           0.0096634,           0.0096634
                  19,            0.028158,              0.0203,            0.018072,            0.013785,           0.0017544,           0.0034879,           0.0010915,            0.052803,            0.073424,            0.050644,           0.0096436,           0.0096436,           0.0096436
                  20,            0.027937,            0.019707,             0.01849,              0.3972,           0.0017544,           0.0014674,            0.001206,            0.060918,            0.079369,            0.071732,           0.0096238,           0.0096238,           0.0096238
                  21,            0.029317,            0.019475,            0.018266,             0.37396,            0.070659,            0.037736,             0.01588,            0.044187,            0.044125,             0.10673,            0.009604,            0.009604,            0.009604
                  22,            0.028945,            0.019527,            0.017608,             0.20404,            0.033333,            0.015945,           0.0035929,            0.054932,            0.066739,              0.0564,           0.0095842,           0.0095842,           0.0095842
                  23,            0.028185,            0.019568,            0.016731,           0.0093952,            0.015789,           0.0028861,          0.00070251,            0.063494,            0.071711,            0.081137,           0.0095644,           0.0095644,           0.0095644
                  24,            0.027622,            0.019286,            0.016703,          3.3477e-05,           0.0035088,          1.9598e-05,          5.6684e-06,            0.081331,             0.05468,            0.085922,           0.0095446,           0.0095446,           0.0095446
                  25,            0.026993,            0.018078,            0.015702,            0.022541,            0.027985,           0.0058941,           0.0016061,             0.05928,            0.063124,              0.0582,           0.0095248,           0.0095248,           0.0095248
                  26,             0.02627,            0.019138,            0.015958,          0.00099542,           0.0075738,          0.00051644,          0.00010833,            0.063035,            0.075298,            0.076538,            0.009505,            0.009505,            0.009505
                  27,            0.026282,            0.019123,            0.014871,             0.71926,            0.012281,            0.010219,           0.0029783,            0.057414,            0.073559,            0.099237,           0.0094852,           0.0094852,           0.0094852
                  28,            0.025486,             0.01842,            0.013893,             0.17643,            0.017544,           0.0028708,           0.0010042,            0.053956,            0.058505,            0.090289,           0.0094654,           0.0094654,           0.0094654
                  29,            0.026282,            0.018212,            0.013243,             0.59182,            0.031579,            0.033742,             0.01019,             0.06599,            0.055534,            0.061044,           0.0094456,           0.0094456,           0.0094456
                  30,            0.027214,            0.018602,            0.014883,             0.57999,            0.017544,            0.018495,           0.0052242,            0.072604,            0.050056,             0.10332,           0.0094258,           0.0094258,           0.0094258
                  31,            0.024714,            0.018171,            0.013262,          0.00047985,           0.0052632,          0.00026598,          2.6598e-05,            0.072083,            0.064142,            0.047292,            0.009406,            0.009406,            0.009406
                  32,            0.024516,            0.017715,            0.012829,            0.028971,            0.085047,            0.052048,            0.023652,            0.048661,            0.063694,            0.052615,           0.0093862,           0.0093862,           0.0093862
                  33,            0.024908,            0.017331,            0.012531,             0.27392,            0.038012,            0.049984,            0.017045,            0.057382,            0.058334,            0.080383,           0.0093664,           0.0093664,           0.0093664
                  34,            0.024289,            0.017197,            0.012145,             0.60698,            0.042105,            0.044155,            0.012558,             0.05492,            0.061173,            0.081146,           0.0093466,           0.0093466,           0.0093466
