               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022687,             0.01405,           0.0082512,             0.83064,             0.79553,             0.84552,             0.67574,            0.015344,           0.0084081,            0.011823,           0.0096634,           0.0096634,           0.0096634
                  36,            0.022468,            0.014427,           0.0077378,             0.80229,             0.89061,             0.85969,             0.69357,            0.014006,           0.0079964,            0.011106,           0.0096535,           0.0096535,           0.0096535
                  37,            0.022101,            0.014109,           0.0075466,             0.74274,             0.83427,              0.8299,             0.66337,             0.01516,           0.0082836,            0.010661,           0.0096436,           0.0096436,           0.0096436
                  38,             0.02165,            0.013819,           0.0073851,             0.85673,             0.82347,             0.85451,             0.70704,            0.014651,           0.0080868,            0.012245,           0.0096337,           0.0096337,           0.0096337
                  39,            0.021249,            0.014084,           0.0073919,             0.81132,             0.87089,             0.86903,             0.70316,            0.014396,           0.0079857,            0.011335,           0.0096238,           0.0096238,           0.0096238
                  40,            0.020852,            0.013107,           0.0073979,              0.7872,             0.84059,              0.8346,             0.67376,            0.015181,            0.007991,            0.013219,           0.0096139,           0.0096139,           0.0096139
                  41,             0.02096,            0.013539,           0.0070687,             0.88702,             0.78763,             0.83955,              0.6711,             0.01574,           0.0084549,            0.013108,            0.009604,            0.009604,            0.009604
                  42,            0.021768,            0.013941,           0.0065604,             0.79999,             0.82694,             0.84034,             0.68083,            0.014427,           0.0081538,            0.010317,           0.0095941,           0.0095941,           0.0095941
                  43,            0.021414,            0.013698,           0.0067115,             0.82809,             0.79318,             0.82742,             0.68826,            0.015022,           0.0081277,            0.012985,           0.0095842,           0.0095842,           0.0095842
                  44,            0.021034,            0.013468,           0.0064821,             0.80866,             0.83274,             0.84866,             0.68931,            0.014987,            0.008026,            0.012269,           0.0095743,           0.0095743,           0.0095743
                  45,            0.021701,            0.013587,           0.0063569,             0.82578,              0.8055,             0.82583,              0.6813,            0.014307,           0.0078439,            0.013067,           0.0095644,           0.0095644,           0.0095644
                  46,            0.020174,            0.013187,           0.0062663,             0.85988,              0.8433,             0.83718,               0.681,            0.014761,           0.0080528,             0.01187,           0.0095545,           0.0095545,           0.0095545
                  47,            0.020095,            0.012995,           0.0068927,             0.88426,             0.87386,             0.88399,             0.71259,            0.014772,           0.0082815,            0.008768,           0.0095446,           0.0095446,           0.0095446
                  48,            0.020066,            0.013505,           0.0059529,             0.89398,              0.8542,             0.88407,             0.74477,             0.01244,           0.0076687,           0.0096573,           0.0095347,           0.0095347,           0.0095347
                  49,            0.020821,              0.0136,           0.0060766,             0.85095,             0.86364,             0.85544,             0.71048,            0.015131,           0.0079939,            0.011916,           0.0095248,           0.0095248,           0.0095248
                  50,            0.019859,            0.012933,            0.005972,             0.86869,              0.8352,             0.84785,             0.69577,            0.013871,           0.0082868,            0.011062,           0.0095149,           0.0095149,           0.0095149
                  51,            0.019887,            0.013497,           0.0059615,             0.81171,             0.87973,             0.85297,             0.70539,            0.013745,           0.0076376,            0.009724,            0.009505,            0.009505,            0.009505
                  52,             0.02029,             0.01288,           0.0058379,             0.83355,             0.82464,             0.85253,             0.70551,             0.01525,           0.0080087,            0.010612,           0.0094951,           0.0094951,           0.0094951
                  53,             0.01926,            0.013112,            0.005899,             0.85316,             0.81591,             0.83856,             0.69505,            0.014503,           0.0077266,            0.011839,           0.0094852,           0.0094852,           0.0094852
                  54,            0.019033,             0.01288,           0.0052973,             0.89597,             0.85079,              0.8955,             0.72246,            0.013674,           0.0075407,            0.011254,           0.0094753,           0.0094753,           0.0094753
                  55,            0.019731,               0.013,           0.0058116,             0.85644,             0.85008,             0.87873,             0.72877,            0.013795,           0.0077212,             0.01279,           0.0094654,           0.0094654,           0.0094654
                  56,            0.019865,            0.013208,           0.0060299,             0.87266,             0.92636,             0.91526,              0.7378,            0.014923,           0.0077607,            0.008189,           0.0094555,           0.0094555,           0.0094555
                  57,            0.019683,             0.01291,           0.0065352,             0.81896,             0.83346,             0.84651,             0.69458,            0.012796,           0.0072637,            0.013273,           0.0094456,           0.0094456,           0.0094456
                  58,            0.019791,            0.013214,           0.0058563,             0.83024,             0.88318,               0.889,             0.70631,            0.015231,           0.0081757,            0.012319,           0.0094357,           0.0094357,           0.0094357
                  59,            0.019874,            0.013548,           0.0057691,             0.87698,             0.86182,             0.86685,             0.70953,            0.013962,           0.0077878,            0.010066,           0.0094258,           0.0094258,           0.0094258
                  60,            0.019184,            0.013115,            0.005671,             0.86338,             0.87465,             0.86873,             0.71504,            0.013513,           0.0081449,            0.010941,           0.0094159,           0.0094159,           0.0094159
                  61,            0.019188,            0.012798,           0.0048408,              0.8895,             0.85095,             0.87147,             0.71226,            0.013294,           0.0075687,            0.013682,            0.009406,            0.009406,            0.009406
                  62,            0.018288,            0.012594,           0.0055531,             0.91292,             0.84565,             0.88949,             0.72255,            0.012932,           0.0073943,            0.013429,           0.0093961,           0.0093961,           0.0093961
                  63,            0.018993,            0.012919,            0.005413,             0.88546,              0.7775,             0.83004,             0.70189,            0.012502,           0.0075584,            0.013039,           0.0093862,           0.0093862,           0.0093862
                  64,            0.017891,            0.011939,           0.0049442,              0.7823,             0.87734,             0.85131,             0.73843,            0.012823,           0.0074425,            0.010681,           0.0093763,           0.0093763,           0.0093763
                  65,            0.017863,            0.012432,           0.0053035,             0.83526,             0.81721,             0.83612,             0.72282,            0.013585,           0.0076074,            0.010716,           0.0093664,           0.0093664,           0.0093664
                  66,            0.018647,             0.01269,            0.004915,             0.88176,             0.86484,             0.87097,             0.72885,            0.012784,           0.0077257,           0.0097662,           0.0093565,           0.0093565,           0.0093565
                  67,            0.018285,            0.012308,           0.0046291,              0.8584,             0.82281,             0.87638,             0.73306,            0.012883,           0.0072221,            0.011759,           0.0093466,           0.0093466,           0.0093466
                  68,             0.01802,            0.012287,           0.0054024,              0.8336,             0.85914,             0.83831,             0.70663,            0.013055,           0.0074554,           0.0096499,           0.0093367,           0.0093367,           0.0093367
                  69,            0.018698,            0.012078,           0.0051033,             0.84499,             0.86737,             0.86631,             0.73584,            0.013062,           0.0076808,            0.011036,           0.0093268,           0.0093268,           0.0093268
                  70,            0.018516,            0.012228,           0.0049039,             0.86276,             0.86258,              0.8616,             0.72925,            0.014052,           0.0072902,             0.01093,           0.0093169,           0.0093169,           0.0093169
                  71,            0.018379,            0.012711,           0.0044404,             0.82897,             0.82155,             0.86241,              0.7434,            0.012174,           0.0075075,            0.012065,            0.009307,            0.009307,            0.009307
                  72,            0.018712,            0.012339,           0.0048535,             0.87414,             0.90812,             0.91807,              0.7581,             0.01272,           0.0073332,            0.011483,           0.0092971,           0.0092971,           0.0092971
