               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.014791,            0.012058,           0.0062392,             0.82146,             0.85626,             0.87486,             0.73034,            0.013805,           0.0093942,            0.008938,           0.0093268,           0.0093268,           0.0093268
                  36,            0.015046,            0.011866,           0.0060402,             0.79112,              0.8663,             0.84268,             0.70096,            0.014036,           0.0091768,            0.011081,            0.009307,            0.009307,            0.009307
                  37,            0.014673,            0.011629,            0.005631,             0.84621,             0.84137,              0.8604,             0.71943,            0.013225,           0.0088648,            0.011739,           0.0092872,           0.0092872,           0.0092872
                  38,            0.014243,            0.011431,           0.0060548,             0.77408,             0.80705,             0.81565,             0.70584,            0.012746,           0.0088559,            0.017882,           0.0092674,           0.0092674,           0.0092674
                  39,            0.014062,            0.011392,           0.0055986,             0.86386,             0.84092,             0.86301,             0.72551,             0.01274,           0.0089816,            0.012864,           0.0092476,           0.0092476,           0.0092476
                  40,            0.013959,            0.011298,           0.0057526,             0.79781,             0.87931,             0.88845,             0.73883,            0.013023,           0.0091832,            0.010831,           0.0092278,           0.0092278,           0.0092278
                  41,             0.01408,            0.011359,            0.005895,             0.85461,             0.84051,             0.85909,             0.71702,            0.013848,           0.0096951,            0.015003,            0.009208,            0.009208,            0.009208
                  42,            0.014464,            0.011421,            0.005485,             0.82573,             0.87706,             0.88238,             0.75186,            0.012709,           0.0092717,            0.010346,           0.0091882,           0.0091882,           0.0091882
                  43,             0.01412,            0.011266,           0.0057181,             0.80495,              0.8705,             0.84624,             0.70619,            0.013054,            0.009025,            0.012897,           0.0091684,           0.0091684,           0.0091684
                  44,            0.014298,            0.011454,           0.0056303,             0.76827,             0.82425,             0.86338,             0.72183,            0.013347,           0.0091743,             0.01156,           0.0091486,           0.0091486,           0.0091486
