               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091064,            0.042035,            0.056347,             0.45149,             0.11298,            0.023029,           0.0058473,            0.058172,            0.026949,            0.049292,            0.070769,           0.0032479,           0.0032479
                   1,            0.063441,            0.035232,            0.045123,              0.6227,             0.13987,            0.079747,            0.021306,            0.060398,            0.020211,            0.041619,            0.039466,           0.0052781,           0.0052781
                   2,            0.059539,            0.029994,            0.042215,             0.68789,             0.22407,             0.17458,            0.060075,            0.043237,            0.015515,             0.04111,           0.0068431,           0.0059884,           0.0059884
                   3,            0.048036,            0.026331,            0.040745,               0.685,             0.28771,             0.22085,             0.10585,            0.038251,            0.014421,            0.039662,             0.00406,             0.00406,             0.00406
                   4,            0.043627,            0.023679,            0.038566,             0.69236,             0.30599,             0.21923,             0.11062,            0.034866,             0.01352,            0.037501,             0.00406,             0.00406,             0.00406
