               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092152,            0.041591,            0.056698,             0.30376,             0.19682,            0.022377,           0.0051383,             0.06463,             0.02542,            0.048791,               0.073,               0.003,               0.003
                   1,            0.066043,            0.035866,            0.045206,             0.63254,             0.30092,            0.087887,            0.023254,            0.056517,            0.019854,            0.042957,             0.04504,           0.0060396,           0.0060396
                   2,             0.06332,            0.029173,            0.042022,             0.67236,             0.21794,             0.14182,            0.055232,            0.052614,            0.015775,            0.041331,            0.017018,           0.0090178,           0.0090178
                   3,            0.060509,            0.024879,             0.03953,             0.68832,             0.32514,              0.2041,            0.077107,            0.045206,            0.015804,            0.036891,            0.009703,            0.009703,            0.009703
                   4,            0.050111,            0.022016,            0.034158,             0.70109,             0.35413,             0.24872,             0.13898,            0.039597,            0.013868,            0.033106,            0.009703,            0.009703,            0.009703
                   5,            0.045216,            0.019856,             0.03165,             0.73659,             0.31482,             0.27355,             0.13834,            0.034344,              0.0125,            0.032559,            0.009604,            0.009604,            0.009604
                   6,            0.040761,             0.01979,             0.02877,             0.76055,             0.39291,             0.31118,             0.14951,            0.033565,            0.011372,            0.028643,            0.009505,            0.009505,            0.009505
                   7,            0.036593,            0.018239,            0.026209,             0.88994,              0.3554,             0.45229,             0.29094,            0.030415,            0.010885,            0.024611,            0.009406,            0.009406,            0.009406
                   8,            0.036035,            0.017882,            0.023891,             0.94357,             0.35073,             0.47426,             0.29531,            0.025196,            0.010803,             0.02639,            0.009307,            0.009307,            0.009307
                   9,            0.033551,            0.017056,            0.021893,             0.94357,             0.38904,             0.54864,             0.35901,            0.026627,             0.01084,            0.021582,            0.009208,            0.009208,            0.009208
                  10,            0.033549,            0.017032,             0.02019,             0.78814,             0.49839,             0.56155,             0.35868,            0.025743,            0.010722,            0.020766,            0.009109,            0.009109,            0.009109
                  11,            0.032181,            0.016862,            0.018609,             0.88575,             0.51748,             0.55685,             0.38506,            0.024392,           0.0097981,            0.017843,             0.00901,             0.00901,             0.00901
                  12,             0.03076,            0.016763,            0.017248,             0.88431,             0.53452,              0.5737,             0.40401,            0.023125,            0.010119,            0.016968,            0.008911,            0.008911,            0.008911
                  13,            0.029758,            0.015913,            0.016462,             0.89087,             0.51587,             0.56503,             0.32544,            0.026853,             0.01026,            0.016289,            0.008812,            0.008812,            0.008812
                  14,            0.029179,            0.016852,            0.014924,             0.77691,             0.55983,              0.5788,             0.37787,            0.024762,             0.01014,            0.014701,            0.008713,            0.008713,            0.008713
                  15,            0.028738,            0.015975,            0.013466,             0.87848,             0.53527,             0.60278,             0.43124,            0.022878,           0.0098465,            0.014279,            0.008614,            0.008614,            0.008614
