               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023943,            0.017615,            0.012962,             0.81409,             0.82865,             0.82793,             0.61685,            0.020085,            0.011556,            0.010691,            0.009307,            0.009307,            0.009307
                  37,            0.023508,            0.017216,             0.01159,             0.77694,             0.79281,             0.81554,             0.59436,            0.018392,            0.011021,            0.012394,           0.0092872,           0.0092872,           0.0092872
                  38,            0.023146,            0.016818,            0.010916,             0.73742,             0.88533,             0.82649,             0.58983,            0.019498,             0.01049,            0.011737,           0.0092674,           0.0092674,           0.0092674
                  39,            0.023085,            0.016952,            0.010928,             0.74057,             0.78381,             0.78069,             0.56827,            0.019035,            0.011267,           0.0099838,           0.0092476,           0.0092476,           0.0092476
                  40,             0.02316,            0.015948,            0.011402,             0.83143,             0.79636,             0.85373,             0.62754,            0.018117,            0.010345,            0.012146,           0.0092278,           0.0092278,           0.0092278
                  41,            0.022912,            0.016504,             0.01052,             0.88771,             0.85309,             0.88579,              0.6692,            0.018555,            0.010278,            0.011192,            0.009208,            0.009208,            0.009208
                  42,            0.022924,            0.016741,           0.0099831,             0.77176,             0.85343,             0.87658,             0.64745,            0.018363,           0.0099621,            0.010688,           0.0091882,           0.0091882,           0.0091882
                  43,              0.0232,            0.016694,            0.009661,              0.8384,             0.89466,             0.90123,             0.65602,            0.017668,            0.009988,           0.0086836,           0.0091684,           0.0091684,           0.0091684
                  44,            0.022883,            0.016209,           0.0091576,              0.8769,             0.84485,             0.89082,             0.68375,            0.016193,            0.009815,             0.01428,           0.0091486,           0.0091486,           0.0091486
                  45,            0.022507,            0.016262,            0.010027,             0.84104,             0.78255,             0.85235,             0.61426,            0.017457,           0.0099803,            0.010403,           0.0091288,           0.0091288,           0.0091288
                  46,             0.02165,            0.016025,           0.0093219,             0.90612,             0.78408,             0.84344,             0.62585,            0.017435,             0.01004,            0.011194,            0.009109,            0.009109,            0.009109
                  47,            0.021721,            0.016141,           0.0094974,             0.79471,             0.88307,             0.87582,             0.65089,            0.018254,            0.010921,            0.012425,           0.0090892,           0.0090892,           0.0090892
                  48,            0.021989,            0.016552,           0.0095616,             0.90744,             0.82594,             0.89164,             0.62596,            0.017424,            0.010179,            0.011304,           0.0090694,           0.0090694,           0.0090694
                  49,            0.022071,            0.016293,           0.0091505,             0.84993,             0.79781,             0.87582,             0.64511,            0.019126,            0.010352,            0.015376,           0.0090496,           0.0090496,           0.0090496
                  50,            0.021259,            0.015532,           0.0094569,             0.87927,             0.81761,             0.86515,             0.65694,             0.01734,            0.009956,            0.013069,           0.0090298,           0.0090298,           0.0090298
                  51,            0.021304,            0.016324,           0.0088115,             0.82769,             0.70705,             0.79622,             0.61273,            0.017694,            0.010163,            0.021848,             0.00901,             0.00901,             0.00901
                  52,            0.020881,            0.015239,           0.0091824,             0.81901,             0.84871,             0.84814,             0.65845,            0.016066,           0.0097014,            0.010066,           0.0089902,           0.0089902,           0.0089902
                  53,            0.021334,            0.015822,           0.0097597,             0.87052,             0.82087,             0.88872,             0.68613,            0.016215,            0.009558,            0.010096,           0.0089704,           0.0089704,           0.0089704
                  54,            0.021518,            0.015773,            0.008211,             0.77816,             0.85397,             0.88681,             0.66911,            0.016644,           0.0095183,            0.011074,           0.0089506,           0.0089506,           0.0089506
                  55,            0.021313,            0.015594,           0.0078906,             0.78881,             0.93003,             0.87671,             0.67562,            0.016445,           0.0093613,            0.010667,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021303,            0.015784,            0.008741,             0.81977,             0.87873,             0.90292,             0.70854,             0.01675,           0.0095723,            0.010032,            0.008911,            0.008911,            0.008911
                  57,            0.021713,             0.01553,           0.0093636,             0.86654,             0.80879,              0.8496,              0.6294,            0.016682,           0.0095306,            0.012401,           0.0088912,           0.0088912,           0.0088912
                  58,            0.021437,            0.015874,           0.0085051,              0.7826,             0.85742,             0.83572,             0.63979,            0.017346,             0.01011,           0.0087399,           0.0088714,           0.0088714,           0.0088714
